userid,num_rows,num_attempts,mean_score_pct,median_score_pct,num_quizzes_taken,avg_time_spent_seconds,total_events,unique_courses,first_activity,last_activity,num_views,num_reports,active_days,events_per_day,engagement_score,consistency_score,performance_category,cluster,ml_cluster
17915,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2025-01-14 20:48:27,2025-01-14 20:48:27,0.0,0.0,0.0,1.0,1.0,1.0,Low,0,0
17996,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-06 14:19:23,2024-11-13 14:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
18167,35.0,0.0,0.0,0.0,0.0,-1733126435.0,13376.0,84.0,2024-09-15 20:48:51,2025-09-09 10:39:13,865.0,0.0,358.0,37.36,14599.0,37.36,Low,0,0
18985,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-06 18:14:47,2024-11-13 18:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
19212,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-06 19:32:06,2024-11-13 20:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
20675,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-07 04:45:14,2024-11-14 05:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
21668,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-07 18:58:20,2024-11-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22296,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 13:19:35,2024-11-15 13:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22297,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 13:21:32,2024-11-15 13:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22298,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 13:23:47,2024-11-15 13:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22307,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 14:07:02,2024-11-15 14:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22308,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 14:09:25,2024-11-15 14:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22309,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 14:12:10,2024-11-15 14:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22317,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 14:24:36,2024-11-15 14:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22321,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 14:32:01,2024-11-15 15:00:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22343,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 15:09:25,2024-11-15 15:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22361,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 17:54:51,2024-11-15 18:00:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22362,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 17:59:39,2024-11-15 18:00:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22367,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 18:13:32,2024-11-15 18:30:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22378,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 18:25:35,2024-11-15 18:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22379,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 18:26:57,2024-11-15 18:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22380,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 18:28:38,2024-11-15 18:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22386,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 18:48:37,2024-11-15 19:00:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22390,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 18:52:11,2024-11-15 19:00:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
